e_jelly,e_pudding,e_candy,e_chocolate,e_chocosweet,e_icecream,hitemp,humidity,year,month
2.225806451612903,4.32258064516129,7.096774193548387,14.0,3.3548387096774195,11.32258064516129,10.2,48,2009,1
2.5357142857142856,4.392857142857143,7.607142857142858,40.107142857142854,4.25,10.821428571428573,11.5,50,2009,2
3.2258064516129035,4.419354838709677,8.258064516129032,13.0,3.5806451612903225,12.451612903225806,13.7,48,2009,3
4.366666666666666,4.666666666666667,7.033333333333332,9.266666666666667,2.9,18.966666666666665,20.2,54,2009,4
5.935483870967742,5.064516129032258,7.516129032258066,8.709677419354838,2.7096774193548385,24.774193548387093,23.6,64,2009,5
8.0,4.833333333333333,6.633333333333334,7.2666666666666675,2.6333333333333333,27.3,25.8,72,2009,6
10.096774193548388,4.935483870967742,5.548387096774193,5.96774193548387,2.4838709677419355,34.58064516129032,29.3,72,2009,7
10.516129032258064,4.967741935483871,6.32258064516129,6.129032258064517,2.290322580645161,39.19354838709677,30.1,69,2009,8
4.333333333333333,4.633333333333334,6.2,8.0,2.7,24.1,26.5,64,2009,9
2.9032258064516134,4.645161290322581,7.709677419354839,10.838709677419352,3.193548387096774,15.967741935483868,22.3,64,2009,10
2.466666666666667,4.133333333333334,7.9,12.166666666666664,3.533333333333333,13.4,17.0,63,2009,11
2.2580645161290325,4.419354838709677,7.096774193548387,15.032258064516132,3.612903225806452,14.193548387096774,12.4,51,2009,12
1.8064516129032255,4.032258064516129,6.612903225806452,14.709677419354836,3.290322580645161,11.67741935483871,11.0,41,2010,1
2.4642857142857144,4.392857142857143,6.821428571428571,40.07142857142857,3.678571428571429,10.892857142857142,9.9,60,2010,2
3.161290322580645,4.451612903225806,6.903225806451613,13.193548387096774,3.5806451612903225,12.35483870967742,13.2,61,2010,3
4.233333333333333,4.4,6.633333333333334,9.566666666666666,3.3666666666666667,15.466666666666667,16.6,62,2010,4
5.870967741935483,4.483870967741935,6.290322580645161,7.516129032258066,2.677419354838709,24.258064516129032,23.0,60,2010,5
8.9,4.566666666666666,5.5,7.333333333333332,2.333333333333333,28.03333333333333,27.5,67,2010,6
11.870967741935484,4.129032258064516,5.258064516129032,4.806451612903227,2.2580645161290325,39.064516129032256,31.6,70,2010,7
12.06451612903226,4.290322580645161,5.225806451612904,4.32258064516129,2.129032258064516,46.806451612903224,33.5,67,2010,8
4.8,4.166666666666667,5.4,6.966666666666668,2.566666666666667,28.8,29.0,68,2010,9
3.419354838709677,4.32258064516129,6.354838709677418,10.290322580645162,3.612903225806452,16.258064516129032,21.8,68,2010,10
2.6,3.9,7.2666666666666675,11.766666666666667,3.8666666666666663,11.7,17.2,56,2010,11
2.548387096774193,4.32258064516129,7.03225806451613,13.93548387096774,4.290322580645161,13.64516129032258,13.7,50,2010,12
2.3548387096774195,3.9032258064516134,6.290322580645161,14.741935483870966,3.4516129032258065,11.161290322580648,9.1,36,2011,1
3.0,4.214285714285714,6.5357142857142865,39.964285714285715,4.428571428571429,10.321428571428571,11.2,52,2011,2
3.967741935483871,3.870967741935484,7.0,12.806451612903226,4.32258064516129,10.612903225806454,12.3,47,2011,3
5.1,4.066666666666666,6.333333333333332,9.633333333333333,3.433333333333333,15.4,18.9,50,2011,4
6.32258064516129,4.419354838709677,5.935483870967742,8.483870967741936,2.7741935483870965,21.677419354838705,22.2,63,2011,5
8.0,4.533333333333333,5.4,6.466666666666668,2.6,26.36666666666667,26.0,71,2011,6
12.903225806451614,3.967741935483871,5.064516129032258,5.161290322580644,1.870967741935484,40.80645161290322,30.9,67,2011,7
10.870967741935484,4.516129032258065,4.935483870967742,5.032258064516129,2.161290322580645,40.032258064516135,31.2,71,2011,8
4.933333333333334,4.033333333333333,5.3,7.0,2.6666666666666665,25.566666666666666,28.8,68,2011,9
3.129032258064516,4.193548387096774,6.483870967741934,10.0,3.612903225806452,16.64516129032258,23.0,61,2011,10
2.7666666666666666,3.9,6.8,11.866666666666667,3.9,13.1,18.3,58,2011,11
2.6129032258064515,3.9032258064516134,6.709677419354839,14.93548387096774,4.129032258064516,13.64516129032258,11.1,48,2011,12
2.4838709677419355,3.9354838709677415,6.225806451612903,14.870967741935484,3.806451612903226,10.93548387096774,8.3,43,2012,1
2.7586206896551726,3.827586206896552,6.724137931034483,40.10344827586207,4.620689655172415,9.448275862068966,9.1,49,2012,2
3.741935483870968,4.032258064516129,6.548387096774193,13.161290322580646,3.9354838709677415,12.419354838709678,12.5,59,2012,3
4.866666666666666,3.933333333333333,5.866666666666666,9.633333333333333,3.2333333333333334,17.466666666666665,18.5,63,2012,4
6.419354838709677,4.161290322580645,5.774193548387097,8.935483870967742,2.7741935483870965,21.64516129032258,23.6,65,2012,5
8.6,4.3,5.466666666666668,7.033333333333332,2.7,26.6,24.8,73,2012,6
11.838709677419354,4.387096774193549,5.032258064516129,4.935483870967742,2.290322580645161,37.58064516129032,30.1,75,2012,7
13.387096774193546,3.870967741935484,4.838709677419356,5.193548387096773,2.032258064516129,42.967741935483865,33.1,69,2012,8
5.033333333333333,3.7666666666666666,4.533333333333333,7.1,2.7,28.3,29.8,73,2012,9
3.0645161290322585,3.7741935483870965,5.806451612903227,10.741935483870966,3.7096774193548394,16.612903225806452,23.0,65,2012,10
2.466666666666667,3.7,6.333333333333332,13.0,4.4,10.866666666666667,16.3,58,2012,11
2.5806451612903225,3.967741935483871,6.290322580645161,15.161290322580646,4.451612903225806,13.35483870967742,11.2,52,2012,12
2.3870967741935485,3.870967741935484,5.451612903225807,15.806451612903226,3.548387096774193,11.709677419354836,9.6,47,2013,1
2.821428571428572,4.035714285714286,6.571428571428571,44.32142857142857,4.464285714285714,11.5,10.3,48,2013,2
3.5806451612903225,3.9032258064516134,6.516129032258066,14.32258064516129,3.967741935483871,14.129032258064516,16.4,55,2013,3
5.033333333333333,3.933333333333333,6.033333333333332,10.3,3.9,17.5,19.2,55,2013,4
6.612903225806452,4.129032258064516,5.96774193548387,8.870967741935484,3.193548387096774,24.548387096774192,24.1,61,2013,5
9.466666666666667,4.466666666666667,5.566666666666666,7.166666666666668,2.833333333333333,29.266666666666666,26.5,74,2013,6
13.225806451612904,4.161290322580645,5.451612903225807,5.516129032258066,2.4838709677419355,39.80645161290322,31.4,73,2013,7
12.032258064516132,4.161290322580645,5.032258064516129,5.612903225806452,2.290322580645161,46.354838709677416,33.2,70,2013,8
4.8,4.166666666666667,5.0,7.633333333333334,3.2666666666666666,26.466666666666665,28.8,69,2013,9
2.9354838709677415,4.258064516129032,5.903225806451613,10.612903225806454,3.7741935483870965,17.70967741935484,23.0,72,2013,10
2.333333333333333,3.8,6.6,12.966666666666667,4.033333333333333,12.333333333333336,17.4,55,2013,11
2.4838709677419355,3.5806451612903225,6.32258064516129,15.967741935483868,3.870967741935484,14.35483870967742,12.1,52,2013,12
2.4516129032258065,3.7096774193548394,5.96774193548387,17.70967741935484,3.7096774193548394,12.774193548387096,10.6,45,2014,1
2.607142857142857,3.8571428571428568,6.142857142857142,42.607142857142854,4.642857142857143,11.035714285714288,9.8,52,2014,2
3.419354838709677,4.032258064516129,6.580645161290323,17.032258064516128,4.516129032258065,14.419354838709678,14.5,52,2014,3
4.733333333333333,3.9,5.5,11.366666666666667,3.633333333333333,17.333333333333332,19.6,56,2014,4
6.67741935483871,4.064516129032258,5.612903225806452,9.838709677419354,3.3225806451612905,25.903225806451612,24.7,62,2014,5
8.7,3.8666666666666663,5.333333333333333,7.566666666666666,2.833333333333333,30.0,26.9,75,2014,6
11.870967741935484,4.193548387096774,5.096774193548387,6.709677419354839,2.5806451612903225,38.774193548387096,30.5,74,2014,7
11.193548387096774,3.9354838709677415,5.064516129032258,6.483870967741934,2.7096774193548385,39.935483870967744,31.2,74,2014,8
4.666666666666667,4.066666666666666,5.233333333333333,9.133333333333333,3.4,24.93333333333333,26.9,68,2014,9
3.032258064516129,4.032258064516129,6.290322580645161,13.451612903225806,4.225806451612904,18.387096774193548,23.0,67,2014,10
2.333333333333333,3.9,6.566666666666666,14.166666666666664,4.766666666666667,13.966666666666667,17.4,63,2014,11
2.7096774193548385,3.7096774193548394,6.548387096774193,17.677419354838708,5.516129032258066,14.67741935483871,11.0,55,2014,12
2.290322580645161,3.4838709677419355,5.96774193548387,18.032258064516128,4.32258064516129,12.93548387096774,10.4,52,2015,1
2.571428571428572,3.678571428571429,6.571428571428571,47.28571428571429,5.4642857142857135,12.321428571428573,10.4,59,2015,2
3.4838709677419355,3.838709677419355,6.580645161290323,17.096774193548384,5.129032258064517,15.483870967741936,15.5,57,2015,3
5.0,4.1,5.933333333333334,11.133333333333333,4.5,19.666666666666668,19.3,71,2015,4
7.483870967741934,3.967741935483871,5.838709677419355,9.225806451612904,3.5806451612903225,29.935483870967737,26.4,62,2015,5
8.633333333333333,4.133333333333334,5.566666666666666,8.933333333333334,3.2666666666666666,29.8,26.4,75,2015,6
12.225806451612904,4.161290322580645,5.290322580645161,6.870967741935483,3.032258064516129,40.548387096774185,30.1,80,2015,7
12.67741935483871,4.064516129032258,5.32258064516129,6.838709677419355,3.161290322580645,44.645161290322584,30.5,78,2015,8
4.533333333333333,4.233333333333333,5.5,10.866666666666667,3.566666666666667,25.6,26.4,79,2015,9
3.3225806451612905,4.129032258064516,6.32258064516129,13.32258064516129,4.451612903225806,19.451612903225808,22.7,66,2015,10
2.8666666666666667,4.0,6.7,15.033333333333333,4.633333333333334,15.933333333333335,17.8,74,2015,11
2.677419354838709,4.0,6.516129032258066,18.870967741935484,5.129032258064517,18.741935483870968,13.4,57,2015,12
2.4838709677419355,3.9032258064516134,6.129032258064517,21.451612903225808,4.548387096774194,14.967741935483868,10.6,55,2016,1
3.2758620689655173,4.137931034482759,6.793103448275862,47.44827586206897,5.448275862068965,13.689655172413795,12.2,56,2016,2
3.806451612903226,3.806451612903226,6.290322580645161,18.70967741935484,4.870967741935483,15.903225806451614,14.9,61,2016,3
5.4,4.166666666666667,5.7,13.433333333333335,4.233333333333333,20.566666666666666,20.3,67,2016,4
7.03225806451613,4.0,5.96774193548387,11.161290322580648,3.645161290322581,28.70967741935484,25.2,66,2016,5
8.533333333333333,3.733333333333333,5.3,8.9,3.333333333333333,29.43333333333333,26.3,75,2016,6
11.903225806451614,4.129032258064516,4.870967741935483,7.129032258064517,2.838709677419355,41.67741935483871,29.7,80,2016,7
11.193548387096774,3.9032258064516134,4.612903225806452,6.67741935483871,2.6129032258064515,44.74193548387096,31.6,78,2016,8
4.6,4.233333333333333,4.933333333333334,10.1,3.533333333333333,28.1,27.7,86,2016,9
3.129032258064516,4.258064516129032,6.129032258064517,13.548387096774194,4.0,20.032258064516128,22.6,72,2016,10
2.6666666666666665,3.8666666666666663,6.2666666666666675,16.233333333333334,4.6,15.3,15.5,71,2016,11
2.806451612903226,4.354838709677419,6.225806451612903,18.90322580645161,5.290322580645161,18.096774193548384,13.8,59,2016,12
2.6129032258064515,3.806451612903226,5.935483870967742,21.64516129032258,4.0,15.774193548387096,10.8,53,2017,1
2.8571428571428568,3.6071428571428568,6.5,50.17857142857143,5.178571428571429,13.642857142857142,12.1,49,2017,2
3.5806451612903225,3.9032258064516134,6.451612903225807,19.774193548387093,4.516129032258065,15.225806451612904,13.4,60,2017,3
5.0,3.8333333333333335,5.3,13.966666666666667,3.7,20.8,19.9,66,2017,4
6.451612903225807,3.9032258064516134,5.193548387096773,11.67741935483871,3.419354838709677,29.516129032258068,25.1,72,2017,5
